UNITID,Year,INTUTIONFEE,OUTTUTIONFEE,BOOKSUPPLY,ONCAMROOM,ONCAMOTHEXP,OFFCAMROOM,OFFCAMOTHEXP
166656,2016,31560,31560,1028,15780,3020,15780,3020
166674,2016,12200,32800,2100,13100,1500,13100,1500
166683,2016,48452,48452,1000,14210,1816,.,.
166692,2016,8004,24600,1000,11978,3955,.,.
166850,2016,38825,38825,1000,14345,1450,14345,1450
166939,2016,45866,45866,950,13440,950,11570,950
167057,2016,44755,44755,700,13900,2734,13900,2734
167260,2016,33400,33400,1400,13500,2200,6500,2700
167288,2016,9875,18820,1200,10078,2776,8923,2776
167358,2016,47653,47653,1000,15050,1800,15050,1800
167394,2016,33412,33412,1150,12236,2400,9315,2900
167455,2016,28780,28780,800,13280,2000,13500,2000
167598,2016,39040,39040,1000,14740,2065,14740,3065
167729,2016,9736,16148,1200,12892,1654,10310,3402
167783,2016,38590,38590,1280,14500,2550,14500,2550
167835,2016,47904,47904,800,16010,1933,.,.
167899,2016,35475,35475,1000,11890,2000,11890,2000
167987,2016,13188,27473,1200,12470,1572,10000,2072
167996,2016,39900,39900,893,15230,1507,8300,1280
168005,2016,35578,35578,1200,14730,2525,14882,3075
168148,2016,52430,52430,800,13556,1404,13556,1404
168227,2016,31840,31840,1500,13530,3750,13530,3750
168254,2016,34874,34874,1240,13214,2060,9730,3300
168263,2016,9275,15355,1006,10396,2434,10396,2434
168342,2016,51790,51790,800,13690,2150,.,.
168421,2016,46994,46994,1000,13736,1200,13410,1200
168430,2016,9202,15282,1368,11776,2700,5400,3200
168528,2016,34890,34890,1800,10740,3276,10740,3276
168740,2016,27684,27684,1100,8742,1100,10464,4400
168786,2016,30062,30062,890,8814,1706,5840,2378
168847,2016,9000,9000,1800,5400,4800,7200,4800
169080,2016,31730,31730,1100,9840,2600,9840,2600
169248,2016,12150,23670,1000,9406,938,7346,938
169327,2016,17600,17600,1404,9600,2556,4194,3216
169363,2016,27710,27710,1600,9580,2800,9580,2800
169442,2016,40840,40840,3000,8650,3700,8650,3700
169479,2016,16726,16726,904,9358,2318,6324,3452
169716,2016,39882,39882,880,9158,3654,9514,5448
169798,2016,11209,27702,1000,9300,1876,7400,2216
169910,2016,11290,11290,914,9652,1120,8128,1272
