Year,UNITID,INTUTIONFEE,OUTTUTIONFEE,BOOKSUPPLY,ONCAMROOM,ONCAMOTHEXP,OFFCAMROOM,OFFCAMOTHEXP,Total,AllocProportion,SampleSize,ActualProportion,SelectionProb,SamplingWeight
2017,120166,8720,8720,1210,9200,2800,12000,2850,1368,0.25,125,0.25,0.091374269,10.944
2017,123554,45686,45686,1278,15320,3240,14058,4059,1368,0.25,125,0.25,0.091374269,10.944
2017,123572,7724,19604,1854,13554,2902,14502,2974,1368,0.25,125,0.25,0.091374269,10.944
2017,128744,32250,32250,1500,13590,7168,8520,10208,1368,0.25,125,0.25,0.091374269,10.944
2017,130183,16610,16610,1200,11500,2200,8000,3450,1368,0.25,125,0.25,0.091374269,10.944
2017,130934,7868,16904,1900,11433,2219,12672,5664,1368,0.25,125,0.25,0.091374269,10.944
2017,132602,14410,14410,1450,8912,3000,9600,4200,1368,0.25,125,0.25,0.091374269,10.944
2017,138354,6360,19241,1200,9354,2100,9354,2100,1368,0.25,125,0.25,0.091374269,10.944
2017,139366,6134,16920,1350,10550,3380,9200,4100,1368,0.25,125,0.25,0.091374269,10.944
2017,139931,6356,17142,1200,9650,5654,9650,5654,1368,0.25,125,0.25,0.091374269,10.944
2017,141167,17940,17940,1000,7040,2200,5320,2200,1368,0.25,125,0.25,0.091374269,10.944
2017,141565,7648,20608,1012,11064,3444,14662,6510,1368,0.25,125,0.25,0.091374269,10.944
2017,145336,9412,16924,1000,10104,3100,10868,3100,1368,0.25,125,0.25,0.091374269,10.944
2017,146676,18100,18100,1252.912564,7400,5514,7156,5514,1368,0.25,125,0.25,0.091374269,10.944
2017,146719,43078,43078,1200,14080,1600,11500,1600,1368,0.25,125,0.25,0.091374269,10.944
2017,147660,37749,37749,1200,12165,1629,8565,6261,1368,0.25,125,0.25,0.091374269,10.944
2017,150604,30920,30920,1200,9630,2600,7500,3800,1368,0.25,125,0.25,0.091374269,10.944
2017,150677,23170,23170,1000,8782,1000,8000,3200,1368,0.25,125,0.25,0.091374269,10.944
2017,151324,8916,19452,1200,9988,2298,9988,2298,1368,0.25,125,0.25,0.091374269,10.944
2017,152099,23700,23700,1414,9450,3463,6448,3463,1368,0.25,125,0.25,0.091374269,10.944
2017,153278,29710,29710,950,9450,900,9070,3790,1368,0.25,125,0.25,0.091374269,10.944
2017,153621,24600,30500,1339,10500,3215,11200,3215,1368,0.25,125,0.25,0.091374269,10.944
2017,153825,32886,32886,1100,7840,2011,7840,2011,1368,0.25,125,0.25,0.091374269,10.944
2017,155681,7100,18152,1000,7700,3766,7174,4342,1368,0.25,125,0.25,0.091374269,10.944
2017,155900,28750,28750,1000,7520,5551,6377,6597,1368,0.25,125,0.25,0.091374269,10.944
2017,156213,29500,29500,1275,6950,2850,5365,3360,1368,0.25,125,0.25,0.091374269,10.944
2017,157289,11264,26286,1200,8374,5612,7890,6672,1368,0.25,125,0.25,0.091374269,10.944
2017,157535,20338,20338,2500,7500,6500,7500,6500,1368,0.25,125,0.25,0.091374269,10.944
2017,158477,35900,35900,1300,13150,2650,9300,3600,1368,0.25,125,0.25,0.091374269,10.944
2017,159391,11374,28051,1160,11750,5420,16012,5420,1368,0.25,125,0.25,0.091374269,10.944
2017,159656,39492,39492,1248,12666,1924,12666,1924,1368,0.25,125,0.25,0.091374269,10.944
2017,161509,34050,34050,1250,11570,2100,8100,2100,1368,0.25,125,0.25,0.091374269,10.944
2017,162007,8064,18653,2500,10546,1600,12874,1600,1368,0.25,125,0.25,0.091374269,10.944
2017,162584,8914,22262,1400,9522,1806,6000,3706,1368,0.25,125,0.25,0.091374269,10.944
2017,163046,47560,47560,1250,14150,1560,7920,1670,1368,0.25,125,0.25,0.091374269,10.944
2017,163912,14496,29948,800,12816,1566,12816,1566,1368,0.25,125,0.25,0.091374269,10.944
2017,164748,42750,42750,474,18180,2170,13850,2170,1368,0.25,125,0.25,0.091374269,10.944
2017,167358,49497,49497,1000,15660,1800,15660,1800,1368,0.25,125,0.25,0.091374269,10.944
2017,167394,34578,34578,1150,12664,2400,9315,2900,1368,0.25,125,0.25,0.091374269,10.944
2017,167783,39610,39610,1280,14800,2550,14800,2550,1368,0.25,125,0.25,0.091374269,10.944
2017,167835,50044,50044,800,16730,1989,7849,1989,1368,0.25,125,0.25,0.091374269,10.944
2017,168005,37270,37270,1200,15046,2524,15023,3074,1368,0.25,125,0.25,0.091374269,10.944
2017,168227,32954,32954,1500,13844,3750,13844,3750,1368,0.25,125,0.25,0.091374269,10.944
2017,169248,12510,23670,1000,9736,830,7394,830,1368,0.25,125,0.25,0.091374269,10.944
2017,169363,28420,28420,1600,9820,2800,9820,2800,1368,0.25,125,0.25,0.091374269,10.944
2017,169442,42460,42460,3000,8650,3700,8650,3700,1368,0.25,125,0.25,0.091374269,10.944
2017,169798,12019,29200,1000,9854,2434,7400,3146,1368,0.25,125,0.25,0.091374269,10.944
2017,170967,22312,22312,1722,7160,834,4194,1494,1368,0.25,125,0.25,0.091374269,10.944
2017,171492,26080,26080,1230,10170,2896,9502,4206,1368,0.25,125,0.25,0.091374269,10.944
2017,173328,21750,21750,2000,8750,2000,8750,2000,1368,0.25,125,0.25,0.091374269,10.944
2017,174783,8228,16462,1200,8558,2700,8558,2700,1368,0.25,125,0.25,0.091374269,10.944
2017,176789,11152,11152,794,5240,1439,10518,9327,1368,0.25,125,0.25,0.091374269,10.944
2017,177065,21936,21936,1242,7094,3936,7744,5856,1368,0.25,125,0.25,0.091374269,10.944
2017,178208,7810,7810,600,6696,4125,11403,5614,1368,0.25,125,0.25,0.091374269,10.944
2017,178369,20200,20200,2830,8750,2050,7780,4700,1368,0.25,125,0.25,0.091374269,10.944
2017,178721,10774,10774,1690,7672,3346,6406,3346,1368,0.25,125,0.25,0.091374269,10.944
2017,179159,42166,42166,1000,10996,3052,10996,3052,1368,0.25,125,0.25,0.091374269,10.944
2017,180258,24440,24440,1000,8500,3950,7890,5612,1368,0.25,125,0.25,0.091374269,10.944
2017,181002,38750,38750,1200,10702,2800,10702,2800,1368,0.25,125,0.25,0.091374269,10.944
2017,181394,7630,20320,1148,9406,3648,9240,3648,1368,0.25,125,0.25,0.091374269,10.944
2017,184773,32260,32260,1200,10808,2880,5880,3135,1368,0.25,125,0.25,0.091374269,10.944
2017,187134,16149,27578,1200,13201,3918,12632,3918,1368,0.25,125,0.25,0.091374269,10.944
2017,190637,7010,14400,1364,13338,5430,13718,5430,1368,0.25,125,0.25,0.091374269,10.944
2017,190983,41900,41900,600,12000,550,2500,550,1368,0.25,125,0.25,0.091374269,10.944
2017,191621,21750,21750,750,9000,1800,5400,1800,1368,0.25,125,0.25,0.091374269,10.944
2017,192749,37910,37910,800,14520,1550,14520,1550,1368,0.25,125,0.25,0.091374269,10.944
2017,194666,7750,7750,300,4500,3500,8000,3500,1368,0.25,125,0.25,0.091374269,10.944
2017,195234,31612,31612,1200,12356,2100,12356,2460,1368,0.25,125,0.25,0.091374269,10.944
2017,195474,35735,35735,1292,14550,2278,8621,2308,1368,0.25,125,0.25,0.091374269,10.944
2017,196079,9523,24403,1000,14577,1000,14577,1000,1368,0.25,125,0.25,0.091374269,10.944
2017,196185,8136,17786,1200,12658,2002,12658,2002,1368,0.25,125,0.25,0.091374269,10.944
2017,196237,7883,17533,2500,11020,1960,17000,4300,1368,0.25,125,0.25,0.091374269,10.944
2017,197018,13800,13800,512,4000,3181,5887,6289,1368,0.25,125,0.25,0.091374269,10.944
2017,198543,5183,16791,400,8627,2426,8627,2426,1368,0.25,125,0.25,0.091374269,10.944
